Spoken form, App name (or list an app name by itself on a line to exclude it)
grip, DataGrip
term, iTerm2
one note, ONENOTE
test apptest apptest apptest apptest apptest apptest apptest apptest apptest apptest apptest app, Cisco/Cisco AnyConnect Secure Mobility Client
idea, IntelliJ IDEA
intellij, IntelliJ IDEA
V P N, Cisco AnyConnect Secure Mobility Client
Cisco, Cisco AnyConnect Secure Mobility Client
settings, System Settings
